what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1397565430751
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1397565430752
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1397565430760
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1397565430761
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1397565430761
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1397565430762
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1397565430762
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1397565430763
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1397565430763
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1397565430764
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1397565430765
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1397565430766
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1397565430766
started,bundle,org.eclipse.php.core,2.1.1.v20090921-1100,"org.eclipse.php.core",1397565430768
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1397565430771
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1397565430982
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1397565430982
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1397565430983
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1397565431067
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1397565431068
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1397565431069
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1397565431070
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1397565431071
started,bundle,org.eclipse.tml.framework.device,0.3.0.200906152200,"org.eclipse.tml.framework.device",1397565431071
started,bundle,org.eclipse.tml.framework.device.wizard,0.3.0.200906152200,"org.eclipse.tml.framework.device.wizard",1397565431071
started,bundle,org.eclipse.tml.service.vncviewer,0.3.0.200906152200,"org.eclipse.tml.service.vncviewer",1397565431071
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1397565431073
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1397565431074
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1397565431076
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1397565431077
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1397565431079
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1397565431080
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1397565431080
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1397565431081
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1397565431082
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1397565431083
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1397565431085
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1397565431085
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1397565431087
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1397565431087
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1397565431089
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1397565431090
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1397565431090
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1397565431092
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1397565431093
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1397565431094
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1397565431094
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1397565431094
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1397565431094
os,sysinfo,,,"win32",1397565431098
arch,sysinfo,,,"x86",1397565431098
ws,sysinfo,,,"win32",1397565431098
locale,sysinfo,,,"en_US",1397565431098
processors,sysinfo,,,"4",1397565431098
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397565431098
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1397565431098
java.specification.name,sysinfo,,,"Java Platform API Specification",1397565431098
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397565431098
java.specification.version,sysinfo,,,"1.6",1397565431098
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1397565431098
java.version,sysinfo,,,"1.6.0_33",1397565431098
java.vm.info,sysinfo,,,"mixed mode, sharing",1397565431098
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397565431098
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397565431098
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397565431098
java.vm.specification.version,sysinfo,,,"1.0",1397565431098
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1397565431098
java.vm.version,sysinfo,,,"20.8-b03",1397565431098
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1397565431454
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1397565434102
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1397565434104
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1397565434246
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1397565434551
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1397565434561
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1397565434563
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565435223
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1397565449120
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1397565457798
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1397565471712
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1397565503304
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1397565514962
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565530289
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565530294
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565530318
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565543080
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565736659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565738433
error,log,,,"ERROR [2014-04-15 18:15:52,958] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A3M0000000D2OkKAK] - skipping component generation\r\n",1397565952958
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565965976
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1397565966476
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1397565966679
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1397565966686
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1397565966938
activated,perspective,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.perspective",1397565967011
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1397565967016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397565967136
opened,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1397565967206
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1397565967213
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1397565967221
activated,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1397565967223
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1397565967922
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1397565967924
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1397565967959
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1397565967971
started,bundle,org.eclipse.rse.ui,3.1.1.v200909160005,"org.eclipse.rse.ui",1397565968066
started,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1397565968067
started,bundle,org.eclipse.rse.subsystems.files.core,3.1.1.v200909160005,"org.eclipse.rse.subsystems.files.core",1397565968140
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1397565968141
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1397565968150
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1397565968163
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.0.v200905272300,"org.eclipse.rse.subsystems.shells.core",1397565968164
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1397565968165
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1397565968185
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1397565968186
started,bundle,org.eclipse.rse.services.local,2.1.101.v200909160005,"org.eclipse.rse.services.local",1397565968187
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1397565969946
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566005242
started,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1397566007058
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566007735
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566015783
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1397566017984
activated,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1397566017985
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566023247
